ticker,action,date,shares,price,raw_price,fee,value,equity,realized_pnl,holding_period_days
ASIANPAINT.NS,SELL,2024-09-30,1,3236.780333644013,3241.6427978407737,4.86246419676116,3236.780333644013,192900.7614091358,597.5221316928614,581
TCS.NS,BUY,2024-11-19,1,3770.015760706241,3764.369206895897,5.646553810343846,3770.015760706241,180939.01757368658,0.0,0
TCS.NS,SELL,2024-12-18,1,4031.564485979646,4037.6209173556795,6.056431376033519,4031.564485979646,187976.62605237795,261.5487252734051,29
LT.NS,SELL,2025-01-06,7,3609.966405271834,3615.389489506093,37.96158963981397,25269.76483690284,185314.06273376322,13618.555954951844,1014
INFY.NS,SELL,2025-02-25,8,1656.5976844837303,1659.0863139546623,19.909035767455947,13252.781475869842,178703.3971881487,2604.6657437462018,945
LT.NS,BUY,2025-03-13,5,3146.6849635093627,3141.9720055011107,23.56479004125833,15733.424817546813,181133.40329166432,0.0,0
TCS.NS,BUY,2025-03-21,5,3318.9551996148584,3313.9842232799383,24.85488167459954,16594.775998074292,184318.44429443,0.0,0
ASIANPAINT.NS,BUY,2025-04-03,5,2254.3232299988404,2250.946809784164,16.88210107338123,11271.616149994203,186368.54042770335,0.0,0
RELIANCE.NS,SELL,2026-01-07,10,1500.7958789127708,1503.0504545946628,22.54575681891994,15007.958789127708,200651.1120707431,4121.62371427936,1469
LT.NS,SELL,2026-01-09,5,3984.0428979144394,3990.0279398241755,29.92520954868132,19920.214489572198,198876.0757668583,4186.789672025384,302
ASIANPAINT.NS,SELL,2026-01-23,5,2676.5227572544613,2680.5435726133815,20.104076794600363,13382.613786272306,194701.1828392634,2110.997636278105,295
TCS.NS,SELL,2026-01-29,5,3152.554326997349,3157.2902623909354,23.679676967932018,15762.771634986746,194573.65650061733,-832.0043630875466,314
LT.NS,BUY,2026-02-02,5,3799.3366064119314,3793.646137206122,28.45234602904592,18996.683032059656,194610.94653967983,0.0,0
ICICIBANK.NS,SELL,2026-03-02,17,1352.9675,1355.0,34.5525,23000.4475,195043.52701714163,11357.324263226234,1438
SBIN.NS,SELL,2026-03-04,4,1149.6197958100254,1151.3468160340765,6.908080896204459,4598.4791832401015,193733.57578045985,2766.240534669434,1436
LT.NS,SELL,2026-03-04,5,3905.9244527067945,3911.7921409181713,29.338441056886285,19529.622263533973,193126.38163774385,532.9392314743154,30
HDFCBANK.NS,SELL,2026-03-09,14,810.3596121194823,811.5769775858611,17.043116529303084,11345.034569672753,192000.42127333456,1595.9401944615784,1662
INFY.NS,BUY,2026-04-01,14,1264.5704951761318,1262.6764804554484,26.51620608956442,17703.986932465843,189148.37918959433,0.0,0
LT.NS,BUY,2026-04-02,5,3510.3225284038786,3505.0649310073672,26.287986982555253,17551.612642019394,189162.71977177693,0.0,0
ICICIBANK.NS,BUY,2026-04-08,14,1311.9650000000001,1310.0,27.51,18367.510000000002,192157.2157113005,0.0,0
SBIN.NS,BUY,2026-04-10,18,1031.9721918788737,1030.4265520507975,27.82151690537153,18575.499453819728,193250.90248864426,0.0,0
ASIANPAINT.NS,BUY,2026-04-10,8,2251.566991779066,2248.1946997294717,26.97833639675366,18012.53593423253,193250.90248864426,0.0,0
LT.NS,SELL,2026-05-07,5,3983.0540166581222,3989.0375730176484,29.917781797632365,19915.270083290612,194400.22232792558,2363.6574412712184,35
SBIN.NS,SELL,2026-05-11,18,987.6864028962674,989.1701581334676,26.707594269603625,17778.355252132813,193214.4347272752,-797.144201686913,31
ITC.NS,SELL,2026-05-27,63,295.20651890563965,295.6499938964844,27.938924423217774,18598.010691055297,193583.75395104534,7304.150807804819,1542
SBIN.NS,BUY,2026-06-04,19,971.3548744506836,969.9000244140625,27.642150695800783,18455.742614562987,193551.2126912797,0.0,0
INFY.NS,SELL,2026-06-16,14,1135.1946743774415,1136.9000244140625,23.874900512695312,15892.725441284181,195729.49874065717,-1811.2614911816636,76
BHARTIARTL.NS,LIQUIDATE_OPEN,2026-06-18,17,1875.981848754883,1878.800048828125,47.90940124511719,31891.69142883301,136612.33555523236,20276.942611337076,1547
ICICIBANK.NS,LIQUIDATE_OPEN,2026-06-18,14,1331.5995756225586,1333.5999755859375,28.00559948730469,18642.39405871582,155254.72961394818,274.8840587158188,71
ASIANPAINT.NS,LIQUIDATE_OPEN,2026-06-18,8,2717.307152512566,2721.3892363671166,32.6566708364054,21738.45722010053,176993.1868340487,3725.9212858680003,69
SBIN.NS,LIQUIDATE_OPEN,2026-06-18,19,1026.3581743774414,1027.9000244140625,29.295150695800782,19500.805313171386,196493.9921472201,1045.062698608398,14
